STATIONS_ID;MESS_DATUM;  QN;DS_10;GS_10;SD_10;LS_10;eor
         44;202408121130;    3;  -999;  -999;   0.167;-999;eor
         44;202408121140;    3;  -999;  -999;   0.167;-999;eor
         44;202408121150;    3;  -999;  -999;   0.167;-999;eor
         44;202408121200;    3;  -999;  -999;   0.167;-999;eor
         44;202408121210;    3;  -999;  -999;   0.167;-999;eor
         44;202408121220;    3;  -999;  -999;   0.167;-999;eor
         44;202408121230;    3;  -999;  -999;   0.167;-999;eor
         44;202408121240;    3;  -999;  -999;   0.167;-999;eor
         44;202408121250;    3;  -999;  -999;   0.167;-999;eor
         44;202408121300;    3;  -999;  -999;   0.167;-999;eor
         44;202408121310;    3;  -999;  -999;   0.167;-999;eor
         44;202408121320;    3;  -999;  -999;   0.167;-999;eor
         44;202408121330;    3;  -999;  -999;   0.167;-999;eor
         44;202408121340;    3;  -999;  -999;   0.167;-999;eor
         44;202408121350;    3;  -999;  -999;   0.167;-999;eor
         44;202408121400;    3;  -999;  -999;   0.167;-999;eor
         44;202408121410;    3;  -999;  -999;   0.167;-999;eor
         44;202408121420;    3;  -999;  -999;   0.167;-999;eor
         44;202408121430;    3;  -999;  -999;   0.167;-999;eor
         44;202408121440;    3;  -999;  -999;   0.167;-999;eor
         44;202408121450;    3;  -999;  -999;   0.167;-999;eor
         44;202408121500;    3;  -999;  -999;   0.167;-999;eor
         44;202408121510;    3;  -999;  -999;   0.167;-999;eor
         44;202408121520;    3;  -999;  -999;   0.167;-999;eor
         44;202408121530;    3;  -999;  -999;   0.167;-999;eor
         44;202408121540;    3;  -999;  -999;   0.167;-999;eor
         44;202408121550;    3;  -999;  -999;   0.100;-999;eor
         44;202408121600;    3;  -999;  -999;   0.167;-999;eor
         44;202408121610;    3;  -999;  -999;   0.167;-999;eor
         44;202408121620;    3;  -999;  -999;   0.167;-999;eor
         44;202408121630;    3;  -999;  -999;   0.167;-999;eor
         44;202408121640;    3;  -999;  -999;   0.167;-999;eor
         44;202408121650;    3;  -999;  -999;   0.167;-999;eor
         44;202408121700;    3;  -999;  -999;   0.167;-999;eor
         44;202408121710;    3;  -999;  -999;   0.167;-999;eor
         44;202408121720;    3;  -999;  -999;   0.167;-999;eor
         44;202408121730;    3;  -999;  -999;   0.167;-999;eor
         44;202408121740;    3;  -999;  -999;   0.167;-999;eor
         44;202408121750;    3;  -999;  -999;   0.167;-999;eor
         44;202408121800;    3;  -999;  -999;   0.167;-999;eor
         44;202408121810;    3;  -999;  -999;   0.167;-999;eor
         44;202408121820;    3;  -999;  -999;   0.167;-999;eor
         44;202408121830;    3;  -999;  -999;   0.083;-999;eor
         44;202408121840;    3;  -999;  -999;   0.000;-999;eor
         44;202408121850;    3;  -999;  -999;   0.000;-999;eor
         44;202408121900;    3;  -999;  -999;   0.000;-999;eor
         44;202408121910;    3;  -999;  -999;   0.000;-999;eor
         44;202408121920;    3;  -999;  -999;   0.000;-999;eor
         44;202408121930;    3;  -999;  -999;   0.000;-999;eor
         44;202408121940;    3;  -999;  -999;   0.000;-999;eor
         44;202408121950;    3;  -999;  -999;   0.000;-999;eor
         44;202408122000;    3;  -999;  -999;   0.000;-999;eor
